time in seconds,driver,stint
84.35,Ryan Cooper,2
84.27,Ryan Cooper,2
83.96,Ryan Cooper,2
85.34,Ryan Cooper,2
84.95,Ryan Cooper,2

89.75,Luca Ziege,2
83.46,Luca Ziege,2
82.66,Luca Ziege,2
83.28,Luca Ziege,2

83.34,Luca Ziege,2
83.3,Luca Ziege,2
83.74,Luca Ziege,2
83.1,Luca Ziege,2
83.24,Luca Ziege,2
84.15,Luca Ziege,2
83.48,Luca Ziege,2
83.56,Luca Ziege,2
84.36,Luca Ziege,2
84.02,Luca Ziege,2
84.66,Luca Ziege,2
86.17,Luca Ziege,2
84.57,Luca Ziege,2
83.77,Luca Ziege,2
84.37,Luca Ziege,2
84.13,Luca Ziege,2
83.82,Luca Ziege,2
84.63,Luca Ziege,2
84.22,Luca Ziege,2
83.66,Luca Ziege,2
83.3,Luca Ziege,2
83.4,Luca Ziege,2
83.65,Luca Ziege,2
83.53,Luca Ziege,2
83.7,Luca Ziege,2
84.7,Luca Ziege,2
83.61,Luca Ziege,2
84.52,Luca Ziege,2
84.46,Luca Ziege,2
83.33,Luca Ziege,2
84.09,Luca Ziege,2
83.94,Luca Ziege,2
84.23,Luca Ziege,2
83.41,Luca Ziege,2
83.31,Luca Ziege,2
84.63,Luca Ziege,2
84.53,Luca Ziege,2
84.23,Luca Ziege,2
83.77,Luca Ziege,2
85.13,Luca Ziege,2

89.64,Hubert Szymański,3
82.88,Hubert Szymański,3
83.67,Hubert Szymański,3
82.88,Hubert Szymański,3
83,Hubert Szymański,3
82.34,Hubert Szymański,3
81.96,Hubert Szymański,3
82.57,Hubert Szymański,3
82.15,Hubert Szymański,3
82.21,Hubert Szymański,3
81.95,Hubert Szymański,3
83.85,Hubert Szymański,3
82.69,Hubert Szymański,3
82.56,Hubert Szymański,3
82.12,Hubert Szymański,3
82.25,Hubert Szymański,3
89.01,Hubert Szymański,3
83.72,Hubert Szymański,3
83.95,Hubert Szymański,3
83.82,Hubert Szymański,3
82.29,Hubert Szymański,3
88.99,Hubert Szymański,3
82.61,Hubert Szymański,3
83.52,Hubert Szymański,3
82.28,Hubert Szymański,3
82.32,Hubert Szymański,3
82.52,Hubert Szymański,3
82.37,Hubert Szymański,3
82.6,Hubert Szymański,3
82.4,Hubert Szymański,3
83.57,Hubert Szymański,3
82.64,Hubert Szymański,3
84.2,Hubert Szymański,3
83.85,Hubert Szymański,3
83.14,Hubert Szymański,3
82.17,Hubert Szymański,3
82.8,Hubert Szymański,3

88.52,Hubert Szymański,4
82.55,Hubert Szymański,4
81.65,Hubert Szymański,4
81.59,Hubert Szymański,4
81.66,Hubert Szymański,4
81.84,Hubert Szymański,4
81.99,Hubert Szymański,4
82.38,Hubert Szymański,4
82.36,Hubert Szymański,4
82.38,Hubert Szymański,4
82.41,Hubert Szymański,4
82.44,Hubert Szymański,4
82,Hubert Szymański,4
82.09,Hubert Szymański,4
81.92,Hubert Szymański,4
82.59,Hubert Szymański,4
81.81,Hubert Szymański,4
81.8,Hubert Szymański,4
82.44,Hubert Szymański,4
82.04,Hubert Szymański,4
81.97,Hubert Szymański,4
82.05,Hubert Szymański,4
82.23,Hubert Szymański,4
84.04,Hubert Szymański,4
