Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Jeffrey Miguel Reno Richie"
"1 ", Ferrari 296 GT3, no,"0", "01:38.4001", "27.0131", "35.6300", "35.7570",     "0 ",  
"2 ", Ferrari 296 GT3, no,"0", "01:27.5120", "20.4070", "34.2100", "32.8950",     "0 ",  
"3 ", Ferrari 296 GT3, no,"0", "01:28.1620", "20.3120", "34.0250", "33.8250",     "0 ",  
"4 ", Ferrari 296 GT3, no,"0", "01:28.2700", "20.5720", "34.8420", "32.8550",     "0 ",  
"5 ", Ferrari 296 GT3, no,"0", "01:27.0300", "20.4100", "33.9650", "32.6550",     "0 ",  
"6 ", Ferrari 296 GT3, no,"0", "01:27.0170", "20.2850", "33.8400", "32.8920",     "0 ",  
"7 ", Ferrari 296 GT3, no,"0", "01:27.1150", "20.3070", "33.9350", "32.8720",     "0 ",  
"8 ", Ferrari 296 GT3, no,"0", "01:26.8550", "20.3120", "33.7470", "32.7950",     "0 ",  
"9 ", Ferrari 296 GT3, no,"0", "01:26.7770", "20.3270", "33.8320", "32.6170",     "0 ",  
"10 ", Ferrari 296 GT3, no,"0", "01:27.5450", "20.2720", "33.9600", "33.3120",     "0 ",  
"11 ", Ferrari 296 GT3, no,"0", "01:27.2820", "20.3870", "33.8850", "33.0100",     "0 ",  
"12 ", Ferrari 296 GT3, no,"0", "01:27.0970", "20.3450", "33.9220", "32.8300",     "0 ",  
"13 ", Ferrari 296 GT3, no,"0", "01:28.4100", "20.7400", "34.4800", "33.1900",     "0 ",  
"14 ", Ferrari 296 GT3, no,"0", "01:27.3220", "20.2620", "34.1200", "32.9400",     "0 ",  
"15 ", Ferrari 296 GT3, no,"0", "01:27.7520", "20.3450", "34.1120", "33.2950",     "0 ",  
"16 ", Ferrari 296 GT3, no,"0", "01:28.5000", "20.5220", "34.0650", "33.9120",     "0 ",  
"17 ", Ferrari 296 GT3, no,"0", "01:27.4700", "20.4200", "34.1850", "32.8650",     "0 ",  
"18 ", Ferrari 296 GT3, no,"0", "01:27.3450", "20.2770", "34.1150", "32.9520",     "0 ",  
"19 ", Ferrari 296 GT3, no,"0", "01:27.3920", "20.3000", "34.0920", "33.0000",     "0 ",  
"20 ", Ferrari 296 GT3, no,"0", "01:27.4900", "20.3120", "34.2270", "32.9500",     "0 ",  
"21 ", Ferrari 296 GT3, no,"0", "01:27.3200", "20.4700", "33.9900", "32.8600",     "0 ",  
"22 ", Ferrari 296 GT3, no,"0", "01:27.3320", "20.3550", "34.0100", "32.9670",     "0 ",  
"23 ", Ferrari 296 GT3, no,"0", "01:27.5470", "20.4350", "34.1450", "32.9670",     "0 ",  
"24 ", Ferrari 296 GT3, no,"0", "01:27.7670", "20.3670", "34.2670", "33.1320",     "0 ",  
"25 ", Ferrari 296 GT3, no,"0", "01:27.5750", "20.4600", "33.9720", "33.1420",     "0 ",  
"26 ", Ferrari 296 GT3, no,"0", "01:27.4120", "20.3020", "34.0670", "33.0420",     "0 ",  
"27 ", Ferrari 296 GT3, no,"0", "01:27.6720", "20.3120", "34.1970", "33.1620",     "0 ",  
"28 ", Ferrari 296 GT3, no,"0", "01:27.4100", "20.3320", "34.0250", "33.0520",     "0 ",  
"29 ", Ferrari 296 GT3, no,"0", "01:27.2620", "20.3800", "34.0650", "32.8170",     "0 ",  
"30 ", Ferrari 296 GT3, no,"0", "01:27.4320", "20.3020", "34.1270", "33.0020",     "0 ",  
"31 ", Ferrari 296 GT3, no,"0", "01:27.3950", "20.3300", "34.0320", "33.0320",     "0 ",  
"32 ", Ferrari 296 GT3, no,"0", "01:27.3820", "20.3100", "34.0970", "32.9750",     "0 ",  
"33 ", Ferrari 296 GT3, no,"0", "01:27.5950", "20.3320", "34.0850", "33.1770",     "0 ",  
"34 ", Ferrari 296 GT3, no,"0", "01:27.3620", "20.3720", "34.0100", "32.9800",     "0 ",  
"35 ", Ferrari 296 GT3, no,"0", "01:33.2150", "20.4950", "34.7470", "37.9720",     "0 ",  
"36 ", Ferrari 296 GT3, no,"0", "02:30.7670", "80.0720", "36.0400", "34.6550",     "0 ",  
"37 ", Ferrari 296 GT3, no,"0", "01:31.5320", "20.9800", "35.8770", "34.6750",     "0 ",  
"38 ", Ferrari 296 GT3, no,"0", "01:31.4550", "21.0000", "35.9820", "34.4720",     "0 ",  
"39 ", Ferrari 296 GT3, no,"0", "01:31.6550", "21.0250", "36.0520", "34.5770",     "0 ",  
"40 ", Ferrari 296 GT3, no,"0", "01:32.4320", "21.0170", "36.7270", "34.6870",     "0 ",  
"41 ", Ferrari 296 GT3, no,"0", "01:32.0920", "21.0470", "36.2400", "34.8050",     "0 ",  
