"Date 2023-05-12 20:26:57","Track Imola (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","14","18","37.7292556762695","Invalid lap. ","0L","2:39.347","0:23.345","0:33.022","","+56.701","+58.134","+51.700","+51.786","OPTIMUM","Dry","26.6791954734112","26.8129170817121","26.3933979118029","26.4944314526589","83.8837242801556","78.5189686640726","87.9580200129702","83.0916282360571","8","264 Km/h","29.1640385728062","0","13.14449","13.14449","0","0","21.82828","28.42656","1","0","0","Inlap","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","15","24","34.943416595459","Invalid lap. ","0L","2:00.587","0:39.805","0:32.830","0:47.952","+17.941","+19.374","+12.940","+13.026","OPTIMUM","Dry","25.9301323327616","26.2133685248714","25.8519781646655","25.9855931560892","74.4828723842196","72.2249143567753","78.8771004116638","77.1439102744425","8","240 Km/h","32.6717037754114","0","13.14449","13.14449","0","0","21.82199","28.40534","1","0","0","Outlap","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","16","20","32.2295684814453","","0L","1:42.587","0:22.212","0:33.037","0:47.337","-0.059","+1.374","-5.060","-4.974","OPTIMUM","Dry","26.7385551710262","26.8102689939638","26.5277081488934","26.5019920925553","82.9078730181086","78.4465573239437","85.9198843259557","82.5269977062374","8","266 Km/h","22.0391140433553","0","13.14449","13.14449","0","0","21.81639","28.3863","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","17","20","29.5134963989258","","0L","1:41.817","0:22.067","0:32.565","0:47.185","-0.829","+0.604","-5.830","-5.744","OPTIMUM","Dry","26.8810223732252","26.908930851927","26.6513382150101","26.5924457809331","84.3955688032454","79.4779477890467","87.2113592900609","83.4728832454361","8","266 Km/h","21.7626470588235","0","13.14449","13.14449","0","0","21.81096","28.36775","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","18","20","26.7727794647217","","0L","1:41.687","0:21.845","0:32.635","0:47.207","-0.959","+0.474","-5.960","-5.874","OPTIMUM","Dry","26.9492023481781","26.9665273481781","26.7084103846154","26.6361078137652","85.109495951417","80.0816324696356","87.8095851012146","83.93141951417","8","267 Km/h","23.8030362389814","0","13.14449","13.14449","0","0","21.80515","28.34781","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","19","20","24.0586833953857","","0L","1:41.907","0:22.012","0:32.615","0:47.280","-0.739","+0.694","-5.740","-5.654","OPTIMUM","Dry","26.9426808924949","26.9613826166329","26.7399159229209","26.6805705273834","85.0453596146045","80.0318369574037","88.1415564908722","84.3983644016227","8","265 Km/h","24.3914396887159","0","13.14449","13.14449","0","0","21.7995","28.32837","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","20","20","21.3336410522461","","0L","1:42.605","0:21.940","0:32.595","0:48.070","-0.041","+1.392","-5.042","-4.956","OPTIMUM","Dry","26.8777425903614","26.9025324698795","26.717922751004","26.6476036947791","84.3728118674699","79.4227068674699","87.9163588955823","84.058852751004","8","265 Km/h","24.2946393762183","0","13.14449","13.14449","0","0","21.79373","28.30847","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","21","20","18.6281642913818","","0L","1:42.037","0:21.750","0:32.600","0:47.687","-0.609","+0.824","-5.610","-5.524","OPTIMUM","Dry","26.859557145749","26.8911048178138","26.6774655668016","26.6071742105263","84.1967632388664","79.3076464777328","87.5464631983806","83.6416887449393","8","267 Km/h","23.6687866927593","0","13.14449","13.14449","0","0","21.78755","28.28708","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","22","20","15.9301137924194","","0L","1:41.977","0:22.027","0:32.805","0:47.145","-0.669","+0.764","-5.670","-5.584","OPTIMUM","Dry","26.8355657777778","26.8465834747475","26.7049530909091","26.6500135151515","83.9533078585859","78.8479215353535","87.8985537979798","84.0919746868687","8","268 Km/h","22.5039031620553","0","13.14449","13.14449","0","0","21.78154","28.26622","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","23","20","13.2053632736206","Invalid lap. ","0L","1:42.692","0:22.130","0:32.527","0:48.035","+0.046","+1.479","-4.955","-4.869","OPTIMUM","Dry","26.8414155310621","26.8241847895792","26.7504304809619","26.6666661723447","84.0184011222445","78.6187557114229","88.4100526452906","84.2695940881764","8","268 Km/h","23.6247534516765","0","13.14449","13.14449","0","0","21.77507","28.24379","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","24","20","10.5036869049072","","0L","1:41.745","0:21.912","0:32.662","0:47.170","-0.901","+0.532","-5.902","-5.816","OPTIMUM","Dry","26.8124620283976","26.7935467342799","26.7848789655172","26.6838123732252","83.7210462880325","78.3038523732252","88.9060434888438","84.4524421703854","8","265 Km/h","22.0991026919242","0","13.14449","13.14449","0","0","21.76877","28.2219","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","25","19","7.80132150650024","","0L","1:42.312","0:22.232","0:32.672","0:47.407","-0.334","+1.099","-5.335","-5.249","OPTIMUM","Dry","26.7858281818182","26.7791326262626","26.7283423434343","26.6435284040404","83.447937010101","78.1580360606061","88.3214512121212","84.0371482828283","8","268 Km/h","24.0864030858245","0","13.14449","13.14449","0","0","21.76201","28.19836","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","26","19","5.09889841079712","","0L","1:42.482","0:21.982","0:32.712","0:47.787","-0.164","+1.269","-5.165","-5.079","OPTIMUM","Dry","26.7910699395161","26.8201975201613","26.6974732862903","26.6395905040323","83.5069986491935","78.5902537298387","88.0043534274193","84.0005841532258","8","266 Km/h","26.6339980638916","0","13.14449","13.14449","0","0","21.75544","28.17553","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","27","18","2.36653447151184","","0L","1:43.270","0:21.912","0:32.607","0:48.750","+0.624","+2.057","-4.377","-4.291","OPTIMUM","Dry","26.8500517131474","26.8307847808765","26.7520584661355","26.6732320119522","84.1259711354582","78.7051190039841","88.5775354183267","84.3555991434263","8","265 Km/h","24.9165692007797","0","13.14449","13.14449","0","0","21.74855","28.15158","1","0","0","Regular","0"
