laptime in seconds,car
116.18,Aston Martin V8
115.767,Aston Martin V8
114.995,Aston Martin V8
117.25,Aston Martin V8
116.65,Aston Martin V8
117.12,Aston Martin V8
116.005,Aston Martin V8
117.065,Aston Martin V8
117.407,Aston Martin V8
116.04,Aston Martin V8
120.445,Aston Martin V8
115.672,Aston Martin V8
114.695,Aston Martin V8
118.165,Aston Martin V8
115.555,Aston Martin V8
116.757,Aston Martin V8
114.602,Aston Martin V8
116.25,Aston Martin V8
113.727,Aston Martin V8
117.112,Aston Martin V8
114.757,Aston Martin V8
116.147,Aston Martin V8
114.852,Aston Martin V8
117.435,Aston Martin V8
115.582,Aston Martin V8
115.82,Aston Martin V8
117.385,Aston Martin V8
116.975,Aston Martin V8
117.437,Aston Martin V8
114.91,Aston Martin V8
114.712,Aston Martin V8
116.097,Aston Martin V8
117.452,Aston Martin V8
114.937,Aston Martin V8
116.655,Aston Martin V8
117.97,Aston Martin V8
115.66,Aston Martin V8
115.857,Aston Martin V8
116.48,Aston Martin V8
116.73,Aston Martin V8
116.04,Aston Martin V8
116.74,Aston Martin V8
116.732,Aston Martin V8
116.232,Aston Martin V8
120.96,Aston Martin V8
118.077,Aston Martin V8
115.08,Aston Martin V8
115.565,Aston Martin V8
114.81,Aston Martin V8
116.047,Aston Martin V8
117.295,Aston Martin V8
117.28,Aston Martin V8
114.85,Aston Martin V8
116.227,Aston Martin V8
116.072,Aston Martin V8
116.852,Aston Martin V8
113.667,Aston Martin V8
115.445,Aston Martin V8
117.02,Aston Martin V8
117.11,Aston Martin V8
114.305,Aston Martin V8
116.827,Aston Martin V8
117.78,Aston Martin V8
116.56,Aston Martin V8
112.95,Aston Martin V8
117.102,Aston Martin V8
116.377,Aston Martin V8
114.097,Aston Martin V8
115.572,Aston Martin V8
116.572,Aston Martin V8
114.997,Aston Martin V8
116.857,Aston Martin V8
118.305,Aston Martin V8
115.292,Aston Martin V8
116.575,Aston Martin V8
117.187,Aston Martin V8
116.027,Aston Martin V8
116.605,Aston Martin V8
116.185,Aston Martin V8
115.377,Aston Martin V8
115.825,Aston Martin V8
114.252,Aston Martin V8
115.387,Aston Martin V8
114.39,Aston Martin V8
121.3,Aston Martin V8
117.135,Aston Martin V8
118.082,Aston Martin V8
114.595,Aston Martin V8
115.357,Aston Martin V8
115.927,Aston Martin V8
117.222,Aston Martin V8
115.475,Aston Martin V8
114.935,Aston Martin V8
118.69,Aston Martin V8
115,Aston Martin V8
116.02,Aston Martin V8
115.567,Aston Martin V8
114.507,Aston Martin V8
116.45,Aston Martin V8
116.65,Aston Martin V8
115.002,Aston Martin V8
117.57,Aston Martin V8
114.57,Aston Martin V8
116.792,Aston Martin V8
115.432,Aston Martin V8
116.327,Aston Martin V8
115.967,Aston Martin V8
114.93,Aston Martin V8
115.747,Aston Martin V8
114.385,Aston Martin V8
117.227,Aston Martin V8
118.937,Aston Martin V8
116.607,Aston Martin V8
117.247,Aston Martin V8
117.635,Aston Martin V8
116.615,Aston Martin V8
119.432,Aston Martin V8
115.325,Aston Martin V8
114.695,Aston Martin V8
115.087,Aston Martin V8
114.36,Aston Martin V8
115.567,Aston Martin V8
114.835,Aston Martin V8
114.595,Aston Martin V8
115.405,Aston Martin V8
114.147,Aston Martin V8
116.685,Aston Martin V8
115.54,Aston Martin V8
116.457,Aston Martin V8
117.287,Aston Martin V8
117.697,Aston Martin V8
115.947,Aston Martin V8
117.622,Aston Martin V8
120.555,Aston Martin V8
116.972,Aston Martin V8
115.905,Aston Martin V8
118.362,Aston Martin V8
118.905,Aston Martin V8
116.6,Aston Martin V8
115.865,Aston Martin V8
115.595,Aston Martin V8
120.557,Aston Martin V8
115.162,Aston Martin V8
118.562,Aston Martin V8
115.432,Aston Martin V8
119.08,Aston Martin V8
115.49,Aston Martin V8
119.977,Aston Martin V8
117.425,Aston Martin V8
116.662,Aston Martin V8
115.855,Aston Martin V8
115.862,Aston Martin V8
121.47,Aston Martin V8
116.252,Aston Martin V8
116.48,Aston Martin V8
116.89,Aston Martin V8
114.63,Aston Martin V8
116.992,Aston Martin V8
115.477,Aston Martin V8
117.157,Aston Martin V8
115.962,Aston Martin V8
115.107,Aston Martin V8
115.895,Aston Martin V8
115.982,Aston Martin V8
115.302,Aston Martin V8
115.34,Aston Martin V8
115.755,Aston Martin V8
115.532,Aston Martin V8
117.342,Aston Martin V8
116.335,Aston Martin V8
115.93,Aston Martin V8
119.497,Aston Martin V8
116.677,Aston Martin V8
117.635,Aston Martin V8
117.14,Aston Martin V8
116.647,Aston Martin V8
117.682,Aston Martin V8
116.415,Aston Martin V8
116.122,Aston Martin V8
116.675,Aston Martin V8
118.245,Aston Martin V8
115.99,Aston Martin V8
116.157,Aston Martin V8
116.022,Aston Martin V8
116.522,Aston Martin V8
114.217,Aston Martin V8
116.502,Aston Martin V8
115.55,Aston Martin V8
115.99,Aston Martin V8
115.275,Aston Martin V8
119.532,Aston Martin V8
115.452,Aston Martin V8
115.962,Aston Martin V8
115.647,Aston Martin V8
114.547,Aston Martin V8
118.442,Aston Martin V8
116.54,Aston Martin V8
120.125,Aston Martin V8
116.322,Aston Martin V8
115.397,Aston Martin V8
118.452,Aston Martin V8
116.68,Aston Martin V8
116.672,Aston Martin V8
115.767,Aston Martin V8
115.857,Aston Martin V8
115.912,Aston Martin V8
117.227,Aston Martin V8
