time in seconds,driver
116.60,Kylo - Stint 2
116.15,Kylo - Stint 2
116.12,Kylo - Stint 2
115.98,Kylo - Stint 2
116.08,Kylo - Stint 2
116.20,Kylo - Stint 2
116.14,Kylo - Stint 2
116.31,Kylo - Stint 2
116.15,Kylo - Stint 2
115.77,Kylo - Stint 2
116.39,Kylo - Stint 2
117.15,Kylo - Stint 2
116.43,Kylo - Stint 2
116.52,Kylo - Stint 2
116.44,Kylo - Stint 2
116.68,Kylo - Stint 2
115.34,Schubert - Stint 3
115.25,Schubert - Stint 3
115.17,Schubert - Stint 3
114.99,Schubert - Stint 3
115.44,Schubert - Stint 3
114.72,Schubert - Stint 3
115.17,Schubert - Stint 3
114.89,Schubert - Stint 3
115.13,Schubert - Stint 3
115.48,Schubert - Stint 3
115.59,Schubert - Stint 3
115.34,Schubert - Stint 3
115.03,Schubert - Stint 3
116.00,Schubert - Stint 3
115.00,Schubert - Stint 3
115.11,Schubert - Stint 3
115.79,Schubert - Stint 3
115.24,Schubert - Stint 3
114.84,Schubert - Stint 3
114.84,Schubert - Stint 3
114.81,Schubert - Stint 3
115.05,Schubert - Stint 3
115.04,Schubert - Stint 3
115.13,Schubert - Stint 3
115.38,Schubert - Stint 3
114.96,Schubert - Stint 3
114.91,Schubert - Stint 3
114.84,Schubert - Stint 3
114.89,Schubert - Stint 3
114.95,Schubert - Stint 3
115.08,Schubert - Stint 3
