time in seconds,driver,fast or slow
103.65,Hubert Szymański,fast
103.78,Hubert Szymański,fast
103.97,Hubert Szymański,fast
103.94,Hubert Szymański,fast
103.79,Hubert Szymański,fast
103.98,Hubert Szymański,fast
104.05,Hubert Szymański,fast
104.82,Hubert Szymański,fast
103.82,Hubert Szymański,fast
103.6,Hubert Szymański,fast
104.43,Hubert Szymański,fast
103.99,Hubert Szymański,fast
104.55,Hubert Szymański,fast
103.98,Hubert Szymański,fast
104.33,Hubert Szymański,fast
104.56,Hubert Szymański,fast
104.39,Hubert Szymański,fast
105.2,Hubert Szymański,fast
