time in seconds,driver
105.63,Flicker Stint 3
105.93,Flicker Stint 3
107.07,Flicker Stint 3
106.12,Flicker Stint 3
106.62,Flicker Stint 3
106.42,Flicker Stint 3
106.22,Flicker Stint 3
106.1,Flicker Stint 3
106.29,Flicker Stint 3
106.26,Flicker Stint 3
106.02,Flicker Stint 3


105.53,Schubert Stint 2
104.84,Schubert Stint 2
104.64,Schubert Stint 2
104.71,Schubert Stint 2
105.01,Schubert Stint 2
104.74,Schubert Stint 2
104.68,Schubert Stint 2
105.07,Schubert Stint 2
104.84,Schubert Stint 2
104.66,Schubert Stint 2
104.99,Schubert Stint 2
104.99,Schubert Stint 2
104.96,Schubert Stint 2
105.09,Schubert Stint 2
106.72,Schubert Stint 2
105.08,Schubert Stint 2
105.31,Schubert Stint 2
105.15,Schubert Stint 2
105.5,Schubert Stint 2
105.37,Schubert Stint 2
105.42,Schubert Stint 2
105.27,Schubert Stint 2
105.36,Schubert Stint 3
105.56,Schubert Stint 3
105.21,Schubert Stint 3
105.15,Schubert Stint 3
105.34,Schubert Stint 3
105.35,Schubert Stint 3
105.49,Schubert Stint 3
105.29,Schubert Stint 3
105.21,Schubert Stint 3
105.66,Schubert Stint 3
105.14,Schubert Stint 3
105.2,Schubert Stint 3
105.31,Schubert Stint 3


105.68,Kylo Stint 4
104.85,Kylo Stint 4
105.04,Kylo Stint 4
105.19,Kylo Stint 4
105.04,Kylo Stint 4
105.09,Kylo Stint 4
104.7,Kylo Stint 4
105.13,Kylo Stint 4
105.18,Kylo Stint 4
105.26,Kylo Stint 4
105.2,Kylo Stint 4
104.92,Kylo Stint 4
105.35,Kylo Stint 4
105.37,Kylo Stint 4
105.46,Kylo Stint 4
105.38,Kylo Stint 4
105.56,Kylo Stint 4
105.36,Kylo Stint 4
105.51,Kylo Stint 4
105.16,Kylo Stint 4
105.33,Kylo Stint 4
105.59,Kylo Stint 4
105.35,Kylo Stint 4
105.59,Kylo Stint 4
105.37,Kylo Stint 4
105.47,Kylo Stint 4
105.43,Kylo Stint 4
105.24,Kylo Stint 4
105.36,Kylo Stint 4
